time_s,altitude_m,airspeed_mps,vertical_speed_mps,vertical_acceleration_g,pitch_deg,roll_deg,fuel_flowrate_kgps
0,0.0,70.0,15.0,1.0,8.0,0.0,1.4
60,900.0,82.0,15.0,1.0,8.0,0.0,1.4
120,1800.0,94.0,15.0,1.0,8.0,0.0,1.4
180,2700.0,106.0,15.0,1.0,8.0,0.0,1.4
240,3600.0,118.0,15.0,1.0,8.0,0.0,1.4
300,4500.0,130.0,15.0,1.0,8.0,0.0,1.4
360,5400.0,142.0,15.0,1.0,8.0,0.0,1.4
420,6300.0,154.0,15.0,1.0,8.0,0.0,1.4
480,7200.0,166.0,15.0,1.0,8.0,0.0,1.4
540,8100.0,178.0,15.0,1.0,8.0,0.0,1.4
600,9000.0,190.0,7.5,1.0,8.0,0.0,1.4
660,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
720,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
780,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
840,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
900,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
960,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
1020,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
1080,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
1140,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
1200,9000.0,230.0,0.0,1.0,2.0,15.0,0.9
1260,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
1320,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
1380,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
1440,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
1500,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
1560,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
1620,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
1680,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
1740,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
1800,9000.0,230.0,0.0,1.7,2.0,0.0,0.9
1860,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
1920,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
1980,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
2040,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
2100,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
2160,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
2220,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
2280,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
2340,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
2400,9000.0,230.0,0.0,1.0,2.0,45.0,0.9
2460,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
2520,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
2580,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
2640,9000.0,230.0,0.0,1.0,2.0,0.0,0.9
2700,9000.0,230.0,-5.0,1.0,2.0,0.0,0.9
2760,8400.0,221.0,-10.0,1.0,-3.0,0.0,0.5
2820,7800.0,212.0,-10.0,1.0,-3.0,0.0,0.5
2880,7200.0,203.0,-10.0,1.0,-3.0,0.0,0.5
2940,6600.0,194.0,-10.0,1.0,-3.0,0.0,0.5
3000,6000.0,185.0,-12.5,1.0,-3.0,0.0,0.5
3060,5400.0,176.0,-10.0,1.0,-3.0,0.0,0.5
3120,4800.0,167.0,-10.0,1.0,-3.0,0.0,0.5
3180,4200.0,158.0,-10.0,1.0,-3.0,0.0,0.5
3240,3600.0,149.0,-10.0,1.0,-3.0,0.0,0.5
3300,3000.0,140.0,-10.0,1.0,-3.0,0.0,0.5
3360,2400.0,131.0,-10.0,1.0,-3.0,0.0,0.5
3420,1800.0,122.0,-10.0,1.0,-3.0,0.0,0.5
3480,1200.0,113.0,-10.0,1.0,-3.0,0.0,0.5
3540,600.0,104.0,-10.0,1.0,-3.0,0.0,0.5
3600,0.0,95.0,-10.0,1.0,-3.0,0.0,0.5
